Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2013,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"18,569",,18569.00
CENSUS,2013,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,132,,132.00
CENSUS,2013,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"21,381",,21381.00
CENSUS,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,875",,23875.00
CENSUS,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"249,561",,249561.00
CENSUS,2013,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"59,113",,59113.00
CENSUS,2013,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,817",,2817.00
CENSUS,2013,YEAR,,STATE,DELAWARE,10,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,209",,2209.00
CENSUS,2013,YEAR,,STATE,FLORIDA,12,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"454,826",,454826.00
CENSUS,2013,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"25,058",,25058.00
CENSUS,2013,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"28,431",,28431.00
CENSUS,2013,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"258,292",,258292.00
CENSUS,2013,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,969",,23969.00
CENSUS,2013,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"16,055",,16055.00
CENSUS,2013,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,983",,2983.00
CENSUS,2013,YEAR,,STATE,KANSAS,20,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"54,060",,54060.00
CENSUS,2013,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,454",,3454.00
CENSUS,2013,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,960",,15960.00
CENSUS,2013,YEAR,,STATE,MAINE,23,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,209",,1209.00
CENSUS,2013,YEAR,,STATE,MARYLAND,24,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,457",,9457.00
CENSUS,2013,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,421",,2421.00
CENSUS,2013,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"32,235",,32235.00
CENSUS,2013,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"30,904",,30904.00
CENSUS,2013,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,002",,6002.00
CENSUS,2013,YEAR,,STATE,MISSOURI,29,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,625",,10625.00
CENSUS,2013,YEAR,,STATE,MONTANA,30,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"110,623",,110623.00
CENSUS,2013,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"108,355",,108355.00
CENSUS,2013,YEAR,,STATE,NEVADA,32,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,081",,8081.00
CENSUS,2013,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,733,,733.00
CENSUS,2013,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"16,987",,16987.00
CENSUS,2013,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"6,885",,6885.00
CENSUS,2013,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,067",,8067.00
CENSUS,2013,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"22,087",,22087.00
CENSUS,2013,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"18,074",,18074.00
CENSUS,2013,YEAR,,STATE,OHIO,39,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,222",,8222.00
CENSUS,2013,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"28,284",,28284.00
CENSUS,2013,YEAR,,STATE,OREGON,41,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"191,890",,191890.00
CENSUS,2013,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,988",,2988.00
CENSUS,2013,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,230",,2230.00
CENSUS,2013,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"21,683",,21683.00
CENSUS,2013,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,550",,9550.00
CENSUS,2013,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,682",,7682.00
CENSUS,2013,YEAR,,STATE,TEXAS,48,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"147,889",,147889.00
CENSUS,2013,YEAR,,STATE,UTAH,49,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,903",,5903.00
CENSUS,2013,YEAR,,STATE,VERMONT,50,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,326,,326.00
CENSUS,2013,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,535",,10535.00
CENSUS,2013,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"173,493",,173493.00
CENSUS,2013,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,421,,421.00
CENSUS,2013,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,082",,10082.00
CENSUS,2013,YEAR,,STATE,WYOMING,56,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"46,154",,46154.00
