Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2013,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"12,067",,12067
CENSUS,2013,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),803,,803
CENSUS,2013,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"6,414",,6414
CENSUS,2013,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),55,,55
CENSUS,2013,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),16,,16
CENSUS,2013,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),69,,69
CENSUS,2013,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"6,405",,6405
CENSUS,2013,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"13,254",,13254
CENSUS,2013,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"3,935",,3935
CENSUS,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"22,570",,22570
CENSUS,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),310,,310
CENSUS,2013,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),995,,995
