Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2023,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,184,71.5,184
CENSUS,2023,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,63,78.6,63
CENSUS,2023,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"13,755",37.6,13755
CENSUS,2023,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2023,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"164,869",27.9,164869
CENSUS,2023,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"20,896",36.3,20896
CENSUS,2023,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,207,48,207
CENSUS,2023,YEAR,,STATE,DELAWARE,10,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2023,YEAR,,STATE,FLORIDA,12,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"373,975",40.2,373975
CENSUS,2023,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,340",(H),7340
CENSUS,2023,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,262,86.2,262
CENSUS,2023,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"192,506",12.1,192506
CENSUS,2023,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,857",63.5,3857
CENSUS,2023,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,919",51.3,15919
CENSUS,2023,YEAR,,STATE,KANSAS,20,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,650",38.2,23650
CENSUS,2023,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,032",68.8,3032
CENSUS,2023,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"50,225",59.4,50225
