Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
1.0,1.0,193.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,193.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,309.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,309.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,6683.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,1.0,6683.0,1.0,131175000000.0,131175000000.0,5074296.0,5074296.0,171394495992.0,171394495992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,5.0,846.0,6.073087619273697,131175000000.0,134661000000.0,5074296.0,3045637.0,171394495992.0,95572089060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,34.91154416,-92.43423888,0.0,1.0,3.0,1.0,17.04356957796615,16.34192872200948,4.0
5.0,1.0,846.0,6.073087619273697,134661000000.0,131175000000.0,3045637.0,5074296.0,95572089060.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.91154416,-92.43423888,32.87856631,-86.71153023,1.0,0.0,1.0,3.0,16.34192872200948,17.04356957796615,4.0
1.0,6.0,21.0,34.396892476629226,131175000000.0,403671000000.0,5074296.0,39029342.0,171394495992.0,1821148127062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,37.83798795,-120.7490147,0.0,0.0,3.0,6.0,17.04356957796615,31.30033897737643,4.0
6.0,1.0,21.0,34.396892476629226,403671000000.0,131175000000.0,39029342.0,5074296.0,1821148127062.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.83798795,-120.7490147,32.87856631,-86.71153023,0.0,0.0,6.0,3.0,31.30033897737643,17.04356957796615,4.0
1.0,12.0,14.0,5.623328405378858,131175000000.0,138958000000.0,5074296.0,22244823.0,171394495992.0,895976980794.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,32.87856631,-86.71153023,28.93181099,-82.70591607,0.0,0.0,3.0,5.0,17.04356957796615,20.207697261419515,3.0
12.0,1.0,14.0,5.623328405378858,138958000000.0,131175000000.0,22244823.0,5074296.0,895976980794.0,171394495992.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,28.93181099,-82.70591607,32.87856631,-86.71153023,0.0,0.0,5.0,3.0,20.207697261419515,17.04356957796615,3.0
1.0,13.0,915.0,3.1360020090872895,131175000000.0,149486000000.0,5074296.0,10912876.0,171394495992.0,418814355128.0,0.0,1.0,25.599798146519188,25.73046857990719,25.599798146519188,25.65743756614471,1.142948743140791,0.0,0.0,32.87856631,-86.71153023,32.8067682,-83.57635023,0.0,0.0,3.0,3.0,17.04356957796615,17.725298242771597,4.0
13.0,1.0,915.0,3.1360020090872895,149486000000.0,131175000000.0,10912876.0,5074296.0,418814355128.0,171394495992.0,0.0,1.0,25.599798146519188,25.73046857990719,25.599798146519188,25.65743756614471,1.142948743140791,0.0,0.0,32.8067682,-83.57635023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.725298242771597,17.04356957796615,4.0
1.0,20.0,23.0,12.6806705061717,131175000000.0,211754000000.0,5074296.0,2937150.0,171394495992.0,111373790850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,38.48536567,-98.08532491,0.0,1.0,3.0,3.0,17.04356957796615,17.082248338214743,4.0
20.0,1.0,23.0,12.6806705061717,211754000000.0,131175000000.0,2937150.0,5074296.0,111373790850.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.48536567,-98.08532491,32.87856631,-86.71153023,1.0,0.0,3.0,3.0,17.082248338214743,17.04356957796615,4.0
1.0,21.0,37.0,4.977654930821917,131175000000.0,102283000000.0,5074296.0,4512310.0,171394495992.0,153328293800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,37.62171898,-85.20171191,0.0,1.0,3.0,3.0,17.04356957796615,15.95009217326982,4.0
21.0,1.0,37.0,4.977654930821917,102283000000.0,131175000000.0,4512310.0,5074296.0,153328293800.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.62171898,-85.20171191,32.87856631,-86.71153023,1.0,0.0,3.0,3.0,15.95009217326982,17.04356957796615,4.0
1.0,22.0,49.0,5.414902314044916,131175000000.0,111914000000.0,5074296.0,4590241.0,171394495992.0,147672643211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,31.0806972,-91.81925318,0.0,0.0,3.0,4.0,17.04356957796615,17.88009549830889,2.0
22.0,1.0,49.0,5.414902314044916,111914000000.0,131175000000.0,4590241.0,5074296.0,147672643211.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0806972,-91.81925318,32.87856631,-86.71153023,0.0,0.0,4.0,3.0,17.88009549830889,17.04356957796615,2.0
1.0,27.0,11.0,14.835249535301182,131175000000.0,206232000000.0,5074296.0,5717184.0,171394495992.0,257393340864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,45.54670036,-94.4318287,0.0,1.0,3.0,2.0,17.04356957796615,17.499573988722897,4.0
27.0,1.0,11.0,14.835249535301182,206232000000.0,131175000000.0,5717184.0,5074296.0,257393340864.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.54670036,-94.4318287,32.87856631,-86.71153023,1.0,0.0,2.0,3.0,17.499573988722897,17.04356957796615,4.0
