Program,Year,Period,Week Ending,Geo Level,State.name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2023,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),69,(H),69.00
CENSUS,2023,YEAR,,STATE,ALABAMA,1,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),115,(H),115.00
CENSUS,2023,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM), (D),(D),
CENSUS,2023,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE), (D),(D),
CENSUS,2023,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"4,485",70.3,4485.00
CENSUS,2023,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"4,236",74.8,4236.00
CENSUS,2023,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"5,834",82.8,5834.00
CENSUS,2023,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND), (D),(D),
CENSUS,2023,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"70,178",59.6,70178.00
CENSUS,2023,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"88,871",16.7,88871.00
CENSUS,2023,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"30,821",44.1,30821.00
CENSUS,2023,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"11,306",54.5,11306.00
CENSUS,2023,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"11,303",36.4,11303.00
CENSUS,2023,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),33,87.6,33.00
