State,next_yr_harvest_total,next_yr_harvest_corn,next_yr_harvest_cotton,next_yr_harvest_rice,next_yr_harvest_soybeans,next_yr_harvest_wheat,next_yr_yield_corn,next_yr_yield_cotton,next_yr_yield_soybeans,next_yr_yield_wheat,next_yr_prod_corn,next_yr_prod_cotton,next_yr_prod_soybeans,next_yr_prod_wheat
1,2041,320,376,,345,145,164,913,43,75,52480,715,14835,10875
2,26,,,,,,,,,,,,,
4,592,38,91,,,37,206,1461,,103,7828,277,,3811
5,7073,830,505,1417,2950,165,183,1340,54,57,151890,1410,159300,9405
6,2043,40,96.8,512,,97,178,1359,,86,7120,274,,8338
8,5331,1015,,,,1820,122,,,41,123830,,,74620
9,73,,,,,,,,,,,,,
10,415,172,,,148,69,189,,46,92,32508,,6808,6348
12,1071,62,87,,,,158,634,,,9796,115,,
13,3116,440,1100,,155,85,174,982,43,55,76560,2250,6665,4675
15,,,,,,,,,,,,,,
16,3849,115,,,,1035,203,,,86.1,23345,,,89110
17,22647,11050,,,10300,780,206,,63,87,2276300,,648900,67860
18,11775,5310,,,5480,335,203,,61,92,1077930,,334280,30820
19,23915,12550,,,9880,,201,,58,,2522550,,573040,
20,21561,5150,99,,4030,5750,119,815,26,35,612850,168,104780,201250
21,5967,1500,,,1820,460,187,,55,88,280500,,100100,40480
22,3139,680,115,462,980,,175,877,40,,119000,210,39200,
23,234,,,,,,,,,,,,,
24,1343,440,,,460,195,165,,47,85,72600,,21620,16575
25,65,,,,,,,,,,,,,
26,6171,2060,,,2030,560,168,,46,83,346080,,93380,46480
27,19130,8180,,,7280,1260,185,,48,62,1513300,,349440,78120
28,4112,770,395,120,2130,95,181,1082,56,52,139370,890,119280,4940
29,14294,3670,330,200,5520,600,153,1338,48,70,561510,920,264960,42000
30,9240,68,,,,5025,129,,,37.2,8772,,,186705
31,18750,9500,,,5180,880,182,,51.5,42,1729000,,266770,36960
32,391,,,,,,,,,,,,,
33,53,,,,,,,,,,,,,
34,298,65,,,98,32,168,,43,82,10920,,4214,2624
35,514,47,37.8,,,85,155,1200,,11,7285,80,,935
36,2659,600,,,340,120,159,,51,81,95400,,17340,9720
37,4247,900,370,,1630,400,147,947,38.5,70,132300,730,62755,28000
38,23545,3800,,,6160,6530,143,,35.5,47.1,543400,,218680,307845
39,9705,3400,,,4730,590,198,,58,90,673200,,274340,53100
40,7934,340,190,,410,2450,149,783,26,28,50660,310,10660,68600
41,1811,55,,,,725,214,,,56,11770,,,40600
42,3111,680,,,560,230,157,,47,76,106760,,26320,17480
44,7,,,,,,,,,,,,,
45,1386,350,208,,385,95,150,912,39,58,52500,395,15015,5510
46,16445,5620,,,5070,1350,152,,44,45.1,854240,,223080,60850
47,4865,890,260,,1570,390,173,1237,51,80,153970,670,80070,31200
48,14181,2100,2724,143,85,2100,122,498,25,37,256200,2825,2125,77700
49,834,27,,,,87,185,,,53,4995,,,4611
50,245,,,,,,,,,,,,,
51,2463,375,80,,570,135,157,1170,38,78,58875,195,21660,10530
53,3780,75,,,,2240,240,,,50.5,18000,,,113120
54,651,32,,,,,145,,,,4640,,,
55,7400,3140,,,2060,230,176,,51,76,552640,,105060,17480
56,1360,57,,,,90,153,,,30,8721,,,2700
