"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,164,944,000",""
"SURVEY","2023","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","13,900,000",""
"SURVEY","2023","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,424,133,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","5,459,837,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","36,194,915,000",""
"SURVEY","2023","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,337,027,000",""
"SURVEY","2023","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","16,126,000",""
"SURVEY","2023","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","278,512,000",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,958,517,000",""
"SURVEY","2023","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,453,593,000",""
"SURVEY","2023","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","86,164,000",""
"SURVEY","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,552,042,000",""
"SURVEY","2023","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","18,884,183,000",""
"SURVEY","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","9,578,183,000",""
"SURVEY","2023","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","19,154,976,000",""
"SURVEY","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","7,477,896,000",""
"SURVEY","2023","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,903,200,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,928,083,000",""
"SURVEY","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","342,309,000",""
"SURVEY","2023","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","781,641,000",""
"SURVEY","2023","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","87,113,000",""
"SURVEY","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,764,067,000",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","13,570,222,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,101,249,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","7,504,636,000",""
"SURVEY","2023","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,128,276,000",""
"SURVEY","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","12,897,739,000",""
"SURVEY","2023","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","268,812,000",""
"SURVEY","2023","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","19,554,000",""
"SURVEY","2023","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","355,447,000",""
"SURVEY","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","712,849,000",""
"SURVEY","2023","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,679,337,000",""
"SURVEY","2023","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,479,856,000",""
"SURVEY","2023","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","10,467,852,000",""
"SURVEY","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","7,154,767,000",""
"SURVEY","2023","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,963,751,000",""
"SURVEY","2023","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,276,394,000",""
"SURVEY","2023","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,794,716,000",""
