State,same_yr_Irrigated_area,next_yr_Irrigated_area,next_yr_Irrigated_water,next_yr_Irrigated_water_gw,next_yr_Irrigated_water_sw,next_yr_irrigated_area_gravity,next_yr_irrigated_area_sprinkler,next_yr_irrigated_area_drip,next_yr_Irrigated_area_gw,next_yr_Irrigated_area_sw,next_yr_palmer_z
1,170537,157755,114953,70241.04218,36209,2645,156396,3978,79803.68991,66944,-0.51
2,2398,1677,1183,1063.280461,85.41091121,71,1163,238,1293.158728,119.5445281,
4,897330,921013,3927853,1768221.168,317556,693836,182162,92828,437637.3638,84945,-0.11
5,4749773,4646159,5165875,4540006.947,603806.7575,4306198,389975,1613,4120196.255,531644.2014,0.03
6,8158067,7765348,22612479,8625417.243,2257175.252,2948897,1081423,4356056,3903996.048,1071648.52,0.46
8,2287808,2368208,3741792,1217460.697,697127.7726,1121454,1289171,17333,893892.285,418472.6836,0.5
9,8114,4448,5527,1155.195525,3601,76,1919,1993,1678.205342,2174.065761,1.05
10,144513,132106,85840,79564.35764,6264,1260,133497,3469,122871.3694,10965,-0.22
12,1478408,1145368,1196361,723054.1677,165082.1415,447391,313146,434063,689135.4414,250614.7945,-0.29
13,1287251,1222368,1299133,1079141.739,190452,1008,1145152,119309,1010570.049,228406.3222,0.06
15,41851,36166,56495,8466.646488,13240.75651,3093,8023,26130,4038.262078,8653.195074,
16,3167499,3180948,5406650,2009891.935,823461.8782,550086,2703060,27796,1206858.036,522022.7488,-0.41
17,635957,680392,410707,403632.9839,4631.459682,4832,705730,11154,669296.7788,5384.888633,-0.61
18,610670,582245,304742,263036.8082,28345.60485,4075,588180,7430,534452.8491,53413.83222,-0.55
19,259687,235413,126121,118461,5188,123,237840,2426,223738.0459,7769.019264,-0.92
20,2344782,2325264,2570702,2502497.114,39599.27484,47296,2248701,32688,2238888.896,74444.57473,-0.76
21,83458,81805,44917,22687.52538,14495.53418,82,86077,2406,45666.59623,30040.36025,-0.36
22,1291830,1306078,1404077,1190607.767,166001.2438,1220292,83312,3332,1123631.048,133772.2175,-1.68
23,33138,18822,5505,2042.546815,2164.020114,31,16663,1952,8373.650826,5977.564675,1.3
24,138097,130707,63301,48323.53524,13697.40224,54,132043,12579,105116.86,24845.56579,-1.03
25,23990,18963,13638,1831.766885,10568.12867,4855,15849,4612,2976.160789,14252,1.11
26,672335,750576,422884,344343.6922,64080.11858,392,738979,69941,621419.472,122554.0846,-0.07
27,648313,558507,394240,360749.6542,16778.39878,11160,607774,2464,530655.7258,14608.99446,-0.85
28,1921886,1713436,1465904,1395397.89,69117.16691,1516326,232995,2842,1669302.869,70666.09319,-1.03
29,1334751,1487302,1192693,1165148.485,24860.749,920038,626064,9731,1441899.739,39198.71359,-0.77
30,1724667,1561373,1879594,50057.87744,613524.5682,855611,704579,864,51395.69298,490983.1402,-0.54
31,7965938,7305801,6813963,6382819.033,50919.04649,485241,6818973,26234,6882278.202,73818,-0.17
32,667764,767374,2248818,707594.6457,473874.9768,563060,216656,20369,237113.3262,189541.3241,1.54
33,2592,2060,1166,386.3954416,626,191,1278,699,717.0133901,987.288487,1.27
34,88477,70616,39608,31475.62917,7909.916136,5115,51579,19804,51957.54798,18861.05684,0.23
35,545904,583735,1211104,662448.5522,54279.61469,290530,306373,9537,303379.0473,26454.29384,-1.14
36,64520,49251,24324,12330.77893,7467.602038,2809,22222,26728,24316.01302,17262.10348,0.99
37,175949,152023,121203,58473.18966,59759.47582,206,144639,14922,76069.3598,72865.97564,-0.15
38,247700,246363,167812,124171.7501,3866.921125,19676,227912,182,183091.6735,6581.66597,0.02
39,69818,56230,36762,21972.06575,11317.74785,792,47834,9324,37280.51427,15800.7136,-0.19
40,450417,539181,665465,626730.2776,7224.687256,20645,531455,25018,502710.824,16210.87139,0.43
41,1534766,1447429,2481338,916546.2216,516378.7353,309870,1080509,117122,571315.2362,328973.3455,-0.71
42,44057,30248,20437,6286.485057,9163.864574,1249,13289,15263,10473.28624,13055.67074,0.16
44,4023,3931,3018,1223.795213,1189,318,3291,498,1846.104401,1145.712568,0.97
45,227963,187519,147623,130569.4471,15875,428,171261,20525,162317.0264,23331.26537,0.39
46,410870,379630,257779,191999.4499,6605,12410,366660,420,299368.1081,13439,1.1
47,206906,174162,81066,73559.47276,5820.72513,2279,186570,7090,157820.0686,9609.004973,-0.2
48,3765438,3724195,4606066,3777925.816,184609.8282,582926,3324072,563970,3115019.47,153963.7446,-1.2
49,853471,986166,2221874,746984.3686,113285.0545,405148,602218,3088,243916.0073,86689.10353,0.74
50,3758,2675,2854,698.371248,2089.989557,847,952,1647,872.3585519,1552,1.23
51,61216,55802,35605,6246.724399,25220.94876,42,49996,5570,8561.276978,39135.31765,-0.34
53,1668415,1706118,3637714,994420.6763,310674.1358,72791,1402977,283913,548767.8397,179171.0952,-1.15
54,5215,2179,1154,578,276,184,797,1048,916.1118624,726.6244035,-0.55
55,475471,481845,441152,365610.6861,72515.96235,12202,514896,3588,447981.1482,38232.78102,-0.59
56,1272605,1148190,1824757,111647.9773,468761.3959,815739,333340,155,78278.40358,292585.6379,1.09
