State,same_yr_Irrigated_area,next_yr_Irrigated_area,next_yr_Irrigated_water,next_yr_Irrigated_water_gw,next_yr_Irrigated_water_sw,next_yr_irrigated_area_gravity,next_yr_irrigated_area_sprinkler,next_yr_irrigated_area_drip,next_yr_Irrigated_area_gw,next_yr_Irrigated_area_sw,palmer_z
1,113008,101178,44604,24047.39593,18379.6285,4419,103131,9973,48762.98737,42991.56843,-0.51
2,2451,1071,457,396.8717029,35.70630284,69,1018,111,862.6594922,83.70947811,
4,880613,851861,3755876,1039311.545,327539.6024,748012,240691,50208,314887.8804,100645.5623,-0.11
5,4803902,4950053,6454191,5495098.813,895608.2393,4296734,1207773,28785,4493909.719,701389.3406,0.03
6,7861964,7549161,23488939,9759519.882,1824450.116,4539426,1662125,2783022,3855571.502,1027462.288,0.46
8,2516785,2309543,4135873,1564528.883,576474.761,1196805,1470829,10126,1003767.107,318131.9837,0.5
9,9272,5371,3999,1829,2370.710848,336,2691,3261,2029.106054,2837.548705,1.05
10,127272,114769,58423,56254.03774,1321,18,123652,3632,108723.4004,6034,-0.22
12,1493320,1364559,1573095,710416.9922,355179.9463,573147,377278,645071,743286.2459,291815.2584,-0.29
13,1125355,1196947,608568,475651.6393,127274,4866,1135450,175960,963619.4012,244947.8582,0.06
15,81813,76459,249449,,,11788,10233,61127,28634.25434,10839.85158,
16,3365292,3511839,6424081,2521162.703,850677.5588,757753,3088161,28149,1431890.033,451232.5817,-0.41
17,522479,541818,367207,354957.1624,5667,8523,583527,10420,526527.6333,11657.20232,-0.61
18,437445,454712,234935,207926,23301,4585,485970,6289,409965.1874,43764.19417,-0.55
19,171656,175847,92573,89278.02678,2078.889338,1564,179003,2615,167365.4948,6434.748836,-0.92
20,2881292,2851317,3432397,3388262.493,19077.16037,106984,2865244,72663,2805798.4,31276.37369,-0.76
21,73573,51126,20335,9055.324662,10701.95123,428,45564,7548,26542.8553,23190.852,-0.36
22,1092881,1096381,1454716,1088420.349,308301.7533,969325,261854,5993,883243.7124,183232.2274,-1.68
23,30887,20817,6959,3341,3442.213586,34,19970,887,11296.19201,9758.493101,1.3
24,104910,100909,47592,37219.46347,9407.071965,646,102059,9562,78737.72357,20236.47171,-1.03
25,23433,27230,36195,4830.915917,30350,2091,25530,3981,7918.710889,21927.97203,1.11
26,592243,587850,311599,237188.126,68983.51759,1998,589389,36558,466998.7186,126671.989,-0.07
27,524016,516724,322879,283380.2384,23485.38879,21741,527697,6725,467078.4778,32624.58297,-0.85
28,1651978,1701587,1768937,1676316.784,87153.99524,1265091,530478,21166,1609516.643,92074.41046,-1.03
29,1180886,1235334,1193127,1154529.887,33691.77226,760732,588721,64160,1172331.284,58134.52032,-0.77
30,1903019,1872389,2502345,62878.82275,611789.2325,1144584,849332,1079,54903.49299,436155.2167,-0.54
31,8296573,8297560,8069039,7389318.77,154652,1251630,7362241,36168,7666920.515,194992,-0.17
32,687790,689953,1913755,1053402.525,409824,469556,289042,3382,359186.2461,187394,1.54
33,2630,4020,1282,373,473,160,2063,2294,1220.463709,1171.827262,1.27
34,88376,80777,48086,32352.32455,15155,2704,73380,28099,59985.73945,27261.81662,0.23
35,680318,694632,1311363,805301,142907.8884,289732,458284,30253,405302.5364,134876.8019,-1.14
36,59807,48705,21300,10339.76262,10287.02842,1069,39351,11932,25442.27041,18802.91107,0.99
37,174526,136721,53351,13725.61422,36676.30074,1841,131949,15523,38364.74668,86596.23797,-0.15
38,218407,213728,148332,106476.6959,6667.822281,28108,194545,334,155005.6964,13160.62146,0.02
39,46569,41776,25160,12910.8152,11000.6571,695,34259,13540,24245.13383,14832.55383,-0.19
40,479750,426602,522118,480381,26142,14010,429033,7747,374625.1092,34488,0.43
41,1629735,1554173,2970591,807027.0275,634745.5593,571531,1141042,85456,509516.9921,347579.7483,-0.71
42,38990,24027,9431,,,1206,11835,12761,11498.60193,10571.45439,0.16
44,3954,3042,2198,189.4469597,1769.468304,163,2552,519,461.7456469,2342.701648,0.97
45,159239,133927,77234,57124.40029,18553.35137,5577,108599,34442,101663.3556,33321.09485,0.39
46,378678,369864,291815,143551.3199,22949.20392,51774,332929,164,240876.8658,33736.92148,1.1
47,146442,146932,57136,50057.67459,6367.040373,8419,146200,8179,126448.1318,17168.24381,-0.2
48,4489163,4491987,5799584,5044573,206105,560944,3980081,280045,4062998.853,118171.9102,-1.2
49,1104257,1125106,2378450,627206.2559,266881,592225,663834,5859,279926.3664,168100,0.74
50,3565,2324,911,273.084561,471,177,1727,686,402.4891944,1563.61206,1.23
51,68651,50100,25395,5000.008066,19186.89468,162,43194,8399,7564.517129,38760.65098,-0.34
53,1633571,1623389,3662524,1084466.407,493371.4299,169489,1420224,250033,516614.1098,234271.5787,-1.15
54,2064,1453,686,250,258,106,712,626,820.9802088,336.6767521,-0.55
55,421721,473483,387148,300522.5157,68044.62958,8034,497601,3763,428677.9578,41930.89853,-0.59
56,1435710,1418284,2089728,155263.9064,411920.6076,1053673,452062,637,137026.3604,320242,1.09
