State,same_yr_Irrigated_area,next_yr_Irrigated_area,next_yr_Irrigated_water,next_yr_Irrigated_water_gw,next_yr_Irrigated_water_sw,next_yr_irrigated_area_gravity,next_yr_irrigated_area_sprinkler,next_yr_irrigated_area_drip,next_yr_Irrigated_area_gw,next_yr_Irrigated_area_sw,next_yr_palmer_z
1,142001,163338,96231,42526.22757,40614.40638,12046,159871,21001,89961.56896,66156.1959,0.56
2,2400,1721,1251,1148.588681,81.94659254,89,1167,253,1417.952724,114.3565331,
4,910883,945570,4410437,1144721.863,150643,837762,155477,78470,340042.9327,61325,-1.1
5,4855143,4246491,5071730,4391567.834,661345.1715,3891251,372849,2787,3866699.648,586026.1405,0.91
6,7833593,8408282,24505123,10607867.52,2151072.381,3888723,952038,4061340,4514986.063,1054263.626,-0.99
8,2761173,2458742,3841308,1586629.588,415610.8858,1098563,1425738,3861,1150315.522,321489.9798,-2.02
9,7376,6104,4142,1383.636329,,246,4772,1079,3246.742945,2674.185125,1.16
10,163255,201305,79762,70457.0328,3301,,206381,1863,181114.1174,8703,1.43
12,1519379,1331739,1359050,692472.9119,170510.8248,532796,339515,523820,727791.1124,292590.4737,0.43
13,1287541,1163038,818459,709596.8316,97647.08321,2143,1098413,162416,990500.8051,155272.072,0.9
15,45452,26700,36520,3053.321047,4469.496294,2449,7640,17909,2988.397578,2761.245128,
16,3398266,3393063,6614948,1859132.082,920351.1206,836989,2577358,9684,1047072.349,472742.5693,-0.56
17,612459,566024,333081,320556.3839,7591.279729,,603828,7131,544777.1132,15785.57244,1.17
18,555443,582661,247882,221936.4333,22798.17471,1188,601888,22351,523037.4269,50933.1689,1.36
19,221986,166193,61239,58195.73287,1485.493363,50,171062,2837,157006.0051,5152.67255,1.81
20,2503386,2386816,2459175,2382875.664,25376.392,66053,2310388,28102,2296260.41,51322.77655,0.02
21,83859,58234,22157,11906.93716,8694.295442,2992,56154,7604,33539.83896,24820.28267,1.68
22,1235752,1072033,1020121,895970.5024,97865.58768,975326,96703,1569,973441.7409,102252.6892,0.29
23,32312,35695,15639,4702.273094,10062,145,35473,1839,12152.47954,23215.80132,0.3
24,124831,125024,68447,57617.45816,10651.28789,268,129180,4351,103992.7593,24860.47283,2.16
25,23928,19311,22791,1880.008536,20196,6593,11124,2965,4609.955078,13395.37506,1.37
26,670212,827010,457523,376137.5688,77385.16692,81,801075,39821,683373.3901,142638.9723,0.73
27,611621,554605,249004,232820.9106,11104.09675,2829,601354,3360,529417.5899,20396.31509,1.05
28,1814548,1667023,1168393,1089969.957,77959,1373391,290049,5581,1572093.726,135050,0.51
29,1529155,1429074,1109427,1059075.136,48308.10105,810544,694803,10778,1355603.842,104817.8365,0.11
30,2061236,2140162,2548942,60774.49845,743717.7209,1226780,953595,1511,67731.16761,578628.567,0.41
31,8588389,7666152,4856160,4217434.229,62526,661385,7002568,58714,7009851.873,134363,1.6
32,790425,693520,1920222,893063.0207,392846,449388,247051,4418,308477.01,178917,-1.46
33,2207,3218,1967,1034.396,813.6425905,117,882,2018,1362.214111,1098.045408,0.72
34,86819,89941,51653,37836.581,13327.67756,3140,72647,21767,66661.61485,25363.38146,1.65
35,626034,675330,1337807,735446.7879,29712,266460,396325,20465,390502.1895,28844.1708,-1.19
36,53257,47974,34109,8567.580743,19628.75623,3225,33858,14595,18770.15947,21910.96441,1.1
37,143444,132870,55669,9220.33087,46199.44248,1534,125567,15047,24192.50091,108755.8738,1.7
38,263885,297001,189930,104042.0934,18590,45395,252703,154,189043.526,20839,-0.26
39,50665,39258,17136,8227.527531,7120.262595,817,32184,8413,17720.73943,18315.99668,1.71
40,573776,601492,662063,563533.263,37759.91078,69649,544199,11492,498471.3173,42963.0455,0.66
41,1664921,1579108,2719424,691779.8714,489861.4328,514953,1004474,68252,436829.2079,332626.3231,-1.3
42,32139,40596,39135,36682.78286,1961.126107,9919,10018,19589,30178.1742,10230.53207,2.75
44,2956,3231,979,689.1119487,,44,2687,385,1657.549272,929.7052239,1.24
45,210437,252720,203411,175783.0571,26320.3193,2856,258963,31169,216685.2495,43360.40068,0.69
46,492452,378413,261443,102378.2371,22589.35645,37027,339964,1673,208446.5325,23318.19339,1.02
47,184899,190746,81382,66249.95718,14510.5837,11906,180908,2468,176490.0324,13179.79931,1.37
48,4363345,4085754,5345738,3990011.041,298086.1247,768512,3266687,271329,3394263.714,232582.7457,0.31
49,1097219,1181700,2326630,514131.1929,226030,519157,666144,9464,242498.5556,118611,-1.56
50,3017,3022,2135,798.0965604,1089.567657,121,1784,1023,912.7833342,1065.01202,0.36
51,63433,48248,14106,3568.735775,10404.18545,1355,41216,4996,10165.05444,38551.96845,2.14
53,1689377,1866110,4072575,1029204.327,218775.8818,109225,1502132,265147,525964.4572,115325.4333,-0.65
54,1660,6525,1788,235.33048,1443.263604,64,5908,345,531.7364273,5550.12506,2.38
55,454362,518312,293908,270129.7616,21338.94091,244,536698,3476,475400.5801,40847.303,1.35
56,1567599,1561596,2268804,188474.5228,535790.6555,1140460,473433,239,164148.8147,417295.4692,-0.11
